v8-version,6,1,534,48,0
code-creation,Stub,3,212082,0x65f6d9dd20,982,"RecordWriteStub"
code-creation,Stub,3,212085,0x65f6d9e100,2246,"RecordWriteStub"
code-creation,Stub,3,212087,0x65f6d9e9e0,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,212090,0x65f6d9ebc0,183,"DoubleToIStub"
code-creation,Stub,3,212092,0x65f6d9ec80,2308,"RecordWriteStub"
code-creation,Stub,3,212094,0x65f6d9f5a0,2291,"RecordWriteStub"
code-creation,Stub,3,212096,0x65f6d9fea0,2262,"RecordWriteStub"
code-creation,Stub,3,212099,0x65f6da0780,2262,"RecordWriteStub"
code-creation,Stub,3,212101,0x65f6da1060,978,"RecordWriteStub"
code-creation,Handler,4,212104,0x65f6da1440,780,"An IC handler from the snapshot"
code-creation,Stub,3,212106,0x65f6da1760,2261,"RecordWriteStub"
code-creation,Stub,3,212108,0x65f6da2040,483,"CreateAllocationSiteStub"
code-creation,Stub,3,212110,0x65f6da2240,2288,"RecordWriteStub"
code-creation,Stub,3,212113,0x65f6da2b40,2265,"RecordWriteStub"
code-creation,Stub,3,212115,0x65f6da3420,984,"RecordWriteStub"
code-creation,Stub,3,212117,0x65f6da3800,2288,"RecordWriteStub"
code-creation,Stub,3,212119,0x65f6da4100,2283,"RecordWriteStub"
code-creation,Stub,3,212122,0x65f6da4a00,2304,"RecordWriteStub"
code-creation,Stub,3,212124,0x65f6da5300,2262,"RecordWriteStub"
code-creation,Stub,3,212127,0x65f6da5be0,2262,"RecordWriteStub"
code-creation,Stub,3,212129,0x65f6da64c0,591,"StringAddStub"
code-creation,Stub,3,212131,0x65f6da6720,1872,"StringAddStub"
code-creation,Builtin,5,212133,0x65f6da6e80,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,212136,0x65f6da6fc0,1869,"GetPropertyStub"
code-creation,Builtin,5,212138,0x65f6da7720,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,212140,0x65f6da7820,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,212143,0x65f6da79a0,308,"An IC handler from the snapshot"
code-creation,Stub,3,212145,0x65f6da7ae0,2258,"RecordWriteStub"
code-creation,Stub,3,212148,0x65f6da83c0,2308,"RecordWriteStub"
code-creation,Stub,3,212150,0x65f6da8ce0,2262,"RecordWriteStub"
code-creation,Stub,3,212152,0x65f6da95c0,2265,"RecordWriteStub"
code-creation,Stub,3,212154,0x65f6da9ea0,2299,"RecordWriteStub"
code-creation,Stub,3,212157,0x65f6daa7a0,2278,"RecordWriteStub"
code-creation,Stub,3,212159,0x65f6dab0a0,2262,"RecordWriteStub"
code-creation,Stub,3,212161,0x65f6dab980,2293,"RecordWriteStub"
code-creation,Handler,4,212163,0x65f6dac280,308,"An IC handler from the snapshot"
code-creation,Handler,4,212166,0x65f6dac3c0,744,"An IC handler from the snapshot"
code-creation,Stub,3,212168,0x65f6dac6c0,2292,"RecordWriteStub"
code-creation,Stub,3,212170,0x65f6dacfc0,2262,"RecordWriteStub"
code-creation,Stub,3,212173,0x65f6dad8a0,1411,"RecordWriteStub"
code-creation,Stub,3,212175,0x65f6dade40,2262,"RecordWriteStub"
code-creation,Stub,3,212177,0x65f6dae720,2299,"RecordWriteStub"
code-creation,Stub,3,212179,0x65f6daf020,183,"DoubleToIStub"
code-creation,Stub,3,212182,0x65f6daf0e0,2274,"RecordWriteStub"
code-creation,Stub,3,212184,0x65f6daf9e0,2304,"RecordWriteStub"
code-creation,Handler,4,212186,0x65f6db02e0,780,"An IC handler from the snapshot"
code-creation,Handler,4,212189,0x65f6db0600,256,"An IC handler from the snapshot"
code-creation,Stub,3,212191,0x65f6db0700,2258,"RecordWriteStub"
code-creation,Stub,3,212193,0x65f6db0fe0,2274,"RecordWriteStub"
code-creation,Stub,3,212195,0x65f6db18e0,1408,"RecordWriteStub"
code-creation,Handler,4,212198,0x65f6db1e60,296,"An IC handler from the snapshot"
code-creation,Stub,3,212201,0x65f6db1fa0,2277,"RecordWriteStub"
code-creation,Stub,3,212203,0x65f6db28a0,2258,"RecordWriteStub"
code-creation,Stub,3,212206,0x65f6db3180,3405,"SubStringStub"
code-creation,Stub,3,212208,0x65f6db3ee0,183,"DoubleToIStub"
code-creation,Stub,3,212210,0x65f6db3fa0,387,"CreateWeakCellStub"
code-creation,Handler,4,212212,0x65f6db4140,688,"An IC handler from the snapshot"
code-creation,Stub,3,212215,0x65f6db4400,1424,"RecordWriteStub"
code-creation,Stub,3,212217,0x65f6db49a0,2265,"RecordWriteStub"
code-creation,Stub,3,212219,0x65f6db5280,386,"CEntryStub"
code-creation,Stub,3,212222,0x65f6db5420,2258,"RecordWriteStub"
code-creation,Stub,3,212224,0x65f6db5d00,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,212226,0x65f6db5ee0,2292,"RecordWriteStub"
code-creation,Stub,3,212229,0x65f6db67e0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,212231,0x65f6db6920,359,"MathPowStub"
code-creation,Handler,4,212233,0x65f6db6aa0,744,"An IC handler from the snapshot"
code-creation,Stub,3,212236,0x65f6db6da0,426,"CallApiGetterStub"
code-creation,Stub,3,212238,0x65f6db6f60,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,212240,0x65f6db70a0,2296,"RecordWriteStub"
code-creation,Stub,3,212243,0x65f6db79a0,2292,"RecordWriteStub"
code-creation,Stub,3,212245,0x65f6db82a0,2262,"RecordWriteStub"
code-creation,Stub,3,212247,0x65f6db8b80,615,"StringAddStub"
code-creation,Stub,3,212250,0x65f6db8e00,375,"NumberToStringStub"
code-creation,Stub,3,212252,0x65f6db8f80,978,"RecordWriteStub"
code-creation,Stub,3,212254,0x65f6db9360,2283,"RecordWriteStub"
code-creation,Handler,4,212257,0x65f6db9c60,296,"An IC handler from the snapshot"
code-creation,Stub,3,212259,0x65f6db9da0,2303,"RecordWriteStub"
code-creation,Stub,3,212261,0x65f6dba6a0,2250,"RecordWriteStub"
code-creation,Stub,3,212264,0x65f6dbaf80,185,"DoubleToIStub"
code-creation,Stub,3,212266,0x65f6dbb040,2303,"RecordWriteStub"
code-creation,Stub,3,212268,0x65f6dbb940,982,"RecordWriteStub"
code-creation,Stub,3,212270,0x65f6dbbd20,2253,"RecordWriteStub"
code-creation,Stub,3,212273,0x65f6dbc600,2300,"RecordWriteStub"
code-creation,Stub,3,212275,0x65f6dbcf00,2261,"RecordWriteStub"
code-creation,Stub,3,212277,0x65f6dbd7e0,2287,"RecordWriteStub"
code-creation,Stub,3,212280,0x65f6dbe0e0,982,"RecordWriteStub"
code-creation,Stub,3,212282,0x65f6dbe4c0,2262,"RecordWriteStub"
code-creation,Stub,3,212284,0x65f6dbeda0,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,212287,0x65f6dbef60,688,"An IC handler from the snapshot"
code-creation,Stub,3,212289,0x65f6dbf220,978,"RecordWriteStub"
code-creation,Stub,3,212291,0x65f6dbf600,2262,"RecordWriteStub"
code-creation,Stub,3,212294,0x65f6dbfee0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,212296,0x65f6dc0020,2262,"RecordWriteStub"
code-creation,Stub,3,212298,0x65f6dc0900,2261,"RecordWriteStub"
code-creation,Stub,3,212300,0x65f6dc11e0,984,"RecordWriteStub"
code-creation,Stub,3,212303,0x65f6dc15c0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,212305,0x65f6dc16a0,183,"DoubleToIStub"
code-creation,Stub,3,212308,0x65f6dc1760,2261,"RecordWriteStub"
code-creation,Stub,3,212310,0x65f6dc2040,984,"RecordWriteStub"
code-creation,Stub,3,212312,0x65f6dc2420,2262,"RecordWriteStub"
code-creation,Stub,3,212315,0x65f6dc2d00,2265,"RecordWriteStub"
code-creation,Stub,3,212317,0x65f6dc35e0,2278,"RecordWriteStub"
code-creation,Stub,3,212319,0x65f6dc3ee0,2278,"RecordWriteStub"
code-creation,Stub,3,212322,0x65f6dc47e0,2261,"RecordWriteStub"
